Genes;ProteinAccessions;ProteinDescriptions;log2 daf2_d1_01;log2 daf2_d1_02;log2 daf2_d1_03;log2 daf2_d1_04;log2 N2_d1_01;log2 N2_d1_02;log2 N2_d1_03;log2 N2_d1_04; -Log.p.value;Student's T-test q-value daf2_d1_N2_d1;log2FC;Student's T-test Test statistic daf2_d1_N2_d1;Sign p-val: 0.05 
C24H12,4;O17157;Uncharacterized protein;13,601;13,5198;13,5031;13,4546;15,1127;14,8723;15,2113;14,5733;4,18396;0;-1,42274;-9,7872;+
fum-1;O17214;Probable fumarate hydratase, mitochondrial;19,6588;19,6176;19,6227;19,5119;18,8187;19,064;19,1586;19,319;2,47319;0,00290747;0,512687;4,68919;+
rps-22;O17218;Ribosomal Protein, Small subunit;20,3431;20,2762;20,2945;20,1734;20,4511;21,0005;20,9264;20,678;2,03975;0,00715119;-0,492208;-3,78512;+
mnat-1;O17245;MNAT (Menage a trois) TFIIH subunit;15,0665;14,9959;14,9997;14,9986;14,0051;14,0677;14,148;14,3313;4,7026;0;0,877157;12,049;+
lmtr-5;O17268;Late endosomal/lysosomal adaptor, Mapk (MAPK) and mToR (MTOR) activator homolog;15,2571;15,2509;15,3441;15,334;15,3323;15,0543;15,2015;15,0119;0,973701;0,0726715;0,14653;1,89951;
heh-1;O17271;Putative protein heh-1;16,4046;16,3851;16,5716;16,0401;16,5743;17,3595;17,0465;16,8942;1,69012;0,0147427;-0,618282;-3,12664;+
lgc-34;O17274;Ligand-Gated ion Channel;16,2428;15,8237;16,1757;16,2192;16,3199;16,076;16,116;16,3492;0,358254;0,349847;-0,0999129;-0,830065;
tomm-22;O17287;Mitochondrial import receptor subunit TOM22 homolog;16,0016;15,557;15,73;15,644;16,3034;15,6448;16,3248;16,6399;1,12468;0,0511565;-0,495042;-2,15059;
mct-6;O17328;MonoCarboxylate Transporter family;16,2774;16,3363;16,3306;16,4371;16,6981;16,801;16,8919;16,7707;3,84734;0,000493947;-0,445047;-8,53184;+
ttr-6;O17345;TransThyretin-Related family domain;17,7217;17,5191;17,6535;17,674;16,9583;16,9603;16,9731;17,0995;4,62443;0;0,644295;11,6799;+
aagr-4;O17352;Acid Alpha Glucosidase Relate;15,1667;14,9167;15,2115;14,8361;15,8118;15,4919;15,4301;15,5946;2,34496;0,0037173;-0,549335;-4,41008;+
srp-2;O17365;SeRPin;15,6843;15,2453;15,3958;15,295;15,1757;15,0588;14,8849;14,8977;1,80225;0,0113713;0,400827;3,33202;+
pho-14;O17373;Intestinal acid PHOsphatase;15,6447;14,4903;14,6149;14,1301;14,889;15,3961;15,2568;14,7513;0,440745;0,282066;-0,35331;-0,985455;
spp-13;O17387;SaPosin-like Protein family;15,0683;14,6164;14,5418;14,0105;13,4014;14,7244;14,8241;13,9508;0,360317;0,347503;0,3341;0,834042;
tag-123;O17388;Transmembrane 9 superfamily member;15,552;15,0833;15,1586;15,1989;14,6563;14,3845;14,5003;14,8566;2,36242;0,00355189;0,648745;4,44748;+
tth-1;O17389;Thymosin beta;18,3527;18,1868;18,3068;18,0843;17,7396;17,5988;17,6432;17,7626;3,56582;0,000575816;0,546595;7,59185;+
F52H2,6;O17397;Diminuto-like protein;12,6933;13,4508;13,7195;13,1524;12,2899;13,1458;13,0542;13,5697;0,288401;0,424156;0,2391;0,692098;
F09G2,8;O17405;Probable phospholipase D F09G2,8;12,9191;12,8816;12,698;13,2322;13,1177;12,7011;13,2764;13,106;0,29755;0,41332;-0,117535;-0,710568;
attf-2;O17406;AT hook Transcription Factor family;18,0882;18,0345;18,104;17,6841;17,2551;16,9848;16,8918;17,1041;3,46325;0,000696864;0,918755;7,27184;+
CELE_F09G2,2;O17407;Uncharacterized protein;11,0013;10,5477;10,7795;10,7883;10,0197;9,80673;9,77604;9,77964;3,84443;0,000490385;0,933655;8,52163;+
CELE_W02D7,5;O17526;Uncharacterized protein;15,659;15,0298;15,1602;14,9324;14,549;13,7095;13,736;14,5949;1,92758;0,00899261;1,04802;3,56786;+
sel-9;O17528;Suppressor/enhancer of lin-12 protein 9;16,2928;16,4185;16,4566;16,3717;16,5673;17,0436;16,697;17,0975;1,87528;0,00987396;-0,466444;-3,46859;+
hil-4;O17536;Histone H1,4;15,9122;15,977;16,0581;15,9034;15,5612;16,1771;15,955;15,7343;0,324342;0,383953;0,105768;0,76393;
clec-223;O17562;C-type LECtin;14,6781;14,574;14,6765;14,6373;13,3488;13,2182;13,2629;13,4919;6,01577;0;1,31101;20,1712;+
rpl-38;O17570;60S ribosomal protein L38;17,6833;17,9674;17,2123;16,6573;18,8695;18,6115;18,4322;18,7817;2,28028;0,00428103;-1,29362;-4,27318;+
pro-2;O17580;Nucleolar complex protein 2 homolog;14,0157;13,98;14,2716;12,8453;13,7787;13,8744;13,9106;14,6405;0,306543;0,404026;-0,272892;-0,728597;
pas-1;O17586;Proteasome subunit alpha type-6;17,6998;17,5425;17,635;17,5658;17,4709;18,2012;18,0238;17,9304;0,944983;0,0783904;-0,295797;-1,85181;
C16C2,4;O17591;Uncharacterized protein;14,4839;14,277;14,5907;14,6471;14,0592;13,096;14,5916;14,9834;0,3228;0,385745;0,317107;0,760887;
C25A1,1;O17594;Uncharacterized protein;13,1767;13,2233;13,1372;13,4756;13,3512;12,5667;12,4434;12,9258;1,0228;0,0645735;0,431392;1,98105;
C27H6,8;O17606;UPF0160 protein C27H6,8;15,8401;15,9224;16,0196;15,8991;16,2007;16,57;16,3902;16,2584;2,53372;0,00270968;-0,43453;-4,8247;+
ruvb-1;O17607;RuvB-like 1;15,768;15,7172;15,808;15,6227;15,8506;15,9478;15,9022;16,069;1,87802;0,00986047;-0,21341;-3,47377;+
C29F3,7;O17616;Uncharacterized protein;14,9483;14,7545;14,8506;14,8348;15,2144;14,9327;15,225;15,3063;1,92038;0,00913374;-0,322598;-3,55413;+
C29F7,1;O17620;Uncharacterized protein;14,1006;14,4237;14,4061;13,8701;13,8426;13,6452;13,9007;14,6926;0,280379;0,433609;0,17985;0,675792;
C29F7,2;O17621;Uncharacterized protein;16,4383;15,713;15,7541;15,7095;16,2768;16,017;16,0731;16,1674;0,575466;0,197956;-0,229852;-1,22698;
C29F7,3;O17622;UMP-CMP kinase 1;16,4897;16,1495;16,3046;16,3244;15,9913;16,2342;16,1229;16,3004;0,790828;0,115896;0,15484;1,59478;
C31C9,2;O17626;Uncharacterized protein;18,2551;18,1995;18,3035;18,0961;17,9889;17,9547;17,8745;18,2353;1,1745;0,0464034;0,200204;2,23385;+
ethe-1;O17636;ETHE1 (Human ETHylmalonic Encephalopathy) homolog;14,3764;14,5536;14,2221;14,3984;13,8319;13,6011;13,711;14,2264;1,93366;0,00886473;0,545065;3,57948;+
col-179;O17642;COLlagen;15,5033;15,6744;15,0176;15,1864;17,4915;17,7666;13,4529;16,7925;0,461524;0,267646;-1,03045;-1,02357;
idh-2;O17643;Isocitrate dehydrogenase [NADP];16,3392;16,3622;16,2558;15,9364;16,5042;16,29;16,5168;16,6064;1,12426;0,0511813;-0,25596;-2,14989;
aspm-1;O17666;Uncharacterized protein;11,7473;12,5084;12,0993;12,6801;11,4217;11,98;11,7981;12,1366;0,81401;0,109383;0,424712;1,63362;
sams-1;O17680;Probable S-adenosylmethionine synthase 1;18,8833;18,7351;18,7827;18,5723;19,8494;19,8182;19,6458;19,7457;4,87875;0;-1,02142;-12,921;+
C49F5,7;O17685;Uncharacterized protein;15,6969;16,0319;15,9974;15,9997;16,8622;15,3717;15,8162;16,3363;0,19618;0,547131;-0,165115;-0,497514;
nasp-2;O17687;NASP (Human Nuclear Autoantigenic Sperm Protein) homolog;17,8652;17,7622;18,4492;17,6596;15,8815;16,063;16,1509;16,4102;3,89003;0,000516456;1,80762;8,68276;+
ril-1;O17694;RNAi-Induced Longevity;17,9478;18,1742;18,1243;18,4022;18,3898;18,4061;18,4077;17,9919;0,440872;0,282066;-0,136745;-0,985691;
hda-1;O17695;Histone deacetylase 1;15,2017;15,0847;14,9507;15,0383;14,594;14,7855;14,7017;14,8149;2,51778;0,00280329;0,344842;4,78877;+
CELE_D1086,3;O17725;Uncharacterized protein;17,1826;16,7627;16,709;16,7249;14,8306;15,3015;15,3905;15,2473;4,19568;0;1,6523;9,83373;+
CELE_D1086,1;O17726;Uncharacterized protein;15,655;15,6319;15,7081;15,4666;14,5003;13,7724;13,7371;14,4889;3,29679;0,00102821;1,49071;6,77606;+
CELE_D1086,6;O17729;Uncharacterized protein;15,9094;15,5975;15,9117;15,8528;16,427;16,296;15,7347;15,8097;0,63016;0,172524;-0,248962;-1,32198;
mpst-1;O17730;Putative thiosulfate sulfurtransferase mpst-1;15,7756;15,704;15,8638;15,4707;16,5751;16,4676;16,4305;16,7073;3,70385;0,000432203;-0,84163;-8,04104;+
CELE_D2023,4;O17731;Uncharacterized protein;16,0441;15,7114;16,7421;15,5433;16,3438;15,9965;16,2351;15,5238;0,015315;0,94964;-0,0145676;-0,0452839;
pyc-1;O17732;Pyruvate carboxylase 1;17,2536;17,1906;17,1501;16,7935;16,7658;17,1648;17,0859;17,0033;0,284169;0,429318;0,0920224;0,683509;
CELE_D2023,6;O17735;Uncharacterized protein;13,3396;12,3301;12,5252;12,406;13,8885;12,9178;13,6256;13,7313;1,51202;0,0219771;-0,890585;-2,80992;+
clec-17;O17741;C-type LECtin;10,7392;10,7448;10,5639;10,6514;10,9501;11,2568;10,746;11,3278;1,49532;0,0228749;-0,395383;-2,78076;+
egl-21;O17754;Carboxypeptidase E;15,0218;14,136;14,5525;14,3879;14,2317;14,0222;14,0237;13,913;1,27771;0,0361489;0,476923;2,40743;+
tkt-1;O17759;TransKeTolase homolog;20,6023;20,5506;20,5736;20,4018;19,8986;20,5459;20,3371;20,0529;1,11731;0,0518901;0,323473;2,13831;
ech-8;O17761;Enoyl-CoA Hydratase;13,6811;13,5552;13,365;13,6751;13,5492;12,8512;12,4088;12,3451;1,45973;0,0245421;0,780535;2,71886;+
lipl-7;O17766;Lipase;16,3564;13,8432;13,7873;13,8986;12,7112;13,0379;13,2757;12,899;1,2313;0,0404346;1,49041;2,32915;+
pes-7;O17772;Patterned Expression Site;12,1685;12,6918;11,3208;10,7952;13,5015;12,642;12,6948;13,0091;1,39296;0,0277377;-1,21776;-2,6037;+
col-98;O17805;COLlagen;14,38;14,6791;14,3271;13,9621;11,8678;12,9824;12,98;12,8368;2,80198;0,00187541;1,67034;5,45655;+
CELE_F15A4,6;O17815;Uncharacterized protein;12,3155;13,0309;13,173;13,4171;12,8204;11,9816;13,0938;13,2903;0,198672;0,543736;0,187605;0,503002;
CELE_F21A3,3;O17829;Uncharacterized protein;12,1;12,4952;12,5962;12,0223;14,1499;13,0191;13,2245;12,4716;1,28486;0,035574;-0,912855;-2,41953;+
pyk-1;O17836;Pyruvate kinase;15,8403;16,4249;16,9674;15,9365;15,1897;14,1895;15,0093;15,5503;1,8264;0,010659;1,30758;3,37694;+
mrpl-54;O17839;Mitochondrial Ribosomal Protein, Large;16,1524;16,047;16,004;15,5324;16,9305;17,2044;16,5881;16,9696;2,73185;0,00211321;-0,989201;-5,28619;+
F37H8,5;O17861;GILT-like protein F37H8,5;18,969;19,1371;19,1172;18,7174;17,7229;18,0193;17,9804;17,9545;3,99496;0,000262295;1,06593;9,06368;+
CELE_F55B11,4;O17890;Uncharacterized protein;16,0453;15,193;14,8587;15,0586;14,1263;14,3148;14,922;14,9717;1,08841;0,0551697;0,705185;2,09015;
CELE_F55B11,2;O17891;Uncharacterized protein;17,7626;17,6593;17,7206;17,6739;17,3312;17,4596;17,3693;17,5024;3,11873;0,00111141;0,288485;6,27602;+
xhd-1;O17892;Uncharacterized protein;15,8354;15,4188;15,3255;15,6695;16,2084;16,3202;16,432;16,35;3,05638;0,00156701;-0,76535;-6,10787;+
CELE_F55B11,3;O17893;Uncharacterized protein;16,2632;16,2875;16,4685;16,3513;16,7908;18,0754;17,4116;17,3075;2,11458;0,00602943;-1,05373;-3,93358;+
haf-3;O17895;HAlF transporter (PGP related);14,1873;14,0735;13,8928;13,6895;14,5805;14,3266;14,4313;14,0928;1,42259;0,0260126;-0,397032;-2,65466;+
copz-1;O17901;Probable coatomer subunit zeta;16,5389;16,3145;16,7857;16,6172;16,2161;16,4276;16,5085;16,7633;0,229608;0,499974;0,0852299;0,569988;
ctg-1;O17907;CRAL/TRIO and GOLD domain containing;14,133;13,9301;13,9704;13,9912;14,5714;14,2546;14,2723;14,6757;2,04873;0,00697006;-0,43729;-3,80279;+
ran-1;O17915;GTP-binding nuclear protein ran-1;18,5569;18,4391;18,615;18,5767;18,8839;19,0785;19,051;19,0566;3,69307;0,000427673;-0,470568;-8,00518;+
K01G5,5;O17919;Putative H/ACA ribonucleoprotein complex subunit 4;15,8363;15,3307;15,5846;15,2659;16,7655;16,7881;16,7701;16,6558;4,05245;0,000275862;-1,24051;-9,27855;+
tbb-1;O17921;Tubulin beta chain;18,5123;18,4055;18,4759;18,1282;18,0293;18,7187;17,7909;17,6483;0,628942;0,172873;0,33366;1,31988;
aipl-1;O17939;AIP1 (Actin Interacting Protein 1) Like;14,8486;15,5531;14,5714;14,3598;14,8441;15,1645;15,0926;14,8217;0,214787;0,520665;-0,1475;-0,538157;
CELE_K10C3,5;O17944;Uncharacterized protein;14,1474;13,3814;13,4923;13,5129;14,3929;14,2708;14,5781;14,1716;1,99636;0,00777849;-0,719815;-3,70036;+
dld-1;O17953;Dihydrolipoyl dehydrogenase, mitochondrial;18,5882;18,5294;18,5312;18,5206;17,8077;18,066;18,2413;18,0937;2,76248;0,0020877;0,490165;5,36013;+
CELE_LLC1,2;O17954;Uncharacterized protein;16,4231;16,2464;16,3595;16,0336;17,312;16,637;16,8472;17,215;2,20036;0,00501176;-0,737137;-4,10746;+
top-1;O17966;DNA topoisomerase 1;12,4522;11,8878;12,5289;13,4445;12,9214;13,229;11,9037;13,1691;0,202004;0,539178;-0,227454;-0,510318;
arrd-14;O17983;ARRestin Domain protein;14,0262;13,6486;13,7711;13,2894;14,0666;13,7602;14,3554;14,1581;1,05595;0,0595432;-0,40122;-2,03615;
pes-9;O18000;Patterned Expression Site;18,4632;18,1202;18,0145;18,0948;18,6849;19,1101;18,8162;18,6623;2,39176;0,00332997;-0,645216;-4,51073;+
CELE_R11H6,4;O18002;Uncharacterized protein;15,2206;15,0413;15,1159;15,23;14,2633;14,0162;14,1921;15,3784;1,15602;0,0482208;0,689406;2,20293;+
pde-12;O18005;PhosphoDiEsterase;14,4849;11,4298;12,3228;12,0415;13,9519;14,3412;15,4501;14,7445;1,49529;0,0228642;-2,05218;-2,7807;+
grl-7;"O18015;Q52GX6";GRound-Like (Grd related);13,195;12,5457;12,161;12,5827;15,5819;13,5518;14,501;15,4833;2,21301;0,00492056;-2,1584;-4,13345;+
igdb-2;O18023;Ig-like and fibronectin type-III domain-containing protein 2;13,3965;13,156;13,1696;13,252;12,9618;13,3336;13,3405;13,2279;0,0967865;0,736577;0,0276027;0,264525;
dhs-4;O18030;DeHydrogenases, Short chain;14,0159;14,2372;13,8342;14,0162;13,1386;11,9865;12,2325;12,8879;2,68631;0,00219184;1,46449;5,17758;+
pfd-3;O18054;Probable prefoldin subunit 3;16,4458;16,2417;16,1233;16,3786;16,3568;16,364;16,4546;16,3983;0,603727;0,183747;-0,0960722;-1,27624;
CELE_T13F3,6;O18089;Uncharacterized protein;17,5895;17,5915;17,6157;17,4367;16,1869;16,4583;16,4102;16,1844;5,25772;0;1,2484;15,0027;+
CELE_T20F10,2;"O18092;Q1ZXS4";Uncharacterized protein;13,8117;13,5585;13,6595;14,4827;13,9983;13,8514;13,8765;13,7367;0,0195179;0,937716;0,0123484;0,0574485;
CELE_T26E3,4;O18131;Uncharacterized protein;14,803;14,2919;14,4809;14,1472;14,6704;15,0499;14,9763;14,934;1,568;0,0195414;-0,476915;-2,90831;+
tba-7;O18154;Tubulin alpha chain;17,8023;18,0696;18,0429;17,7464;18,0658;18,4343;18,4511;18,5483;1,85076;0,0102958;-0,459558;-3,42248;+
CELE_T28D6,3;O18156;Uncharacterized protein;13,1963;12,5844;12,2421;12,7521;12,1053;11,129;11,696;11,8667;1,87195;0,00993587;0,994495;3,46232;+
ogt-1;"O18158;Q2L6Y4";"UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase;O-linked GlcNAc Transferase";12,6035;12,4776;12,6198;13,062;13,0368;13,2255;13,2513;13,2533;1,96083;0,00818411;-0,501015;-3,63162;+
pptr-1;O18178;Serine/threonine-protein phosphatase 2A regulatory subunit pptr-1;15,7033;15,427;15,6134;15,6215;15,8617;16,1281;16,0945;16,0911;2,75629;0,00207881;-0,452557;-5,34512;+
mrpl-12;O18180;Mitochondrial Ribosomal Protein, Large;18,0186;17,6599;18,2029;17,2511;17,0234;16,755;17,2782;17,0884;1,70854;0,0140291;0,746888;3,16004;+
CELE_W09D10,1;O18181;Uncharacterized protein;14,1932;14,1261;14,7515;14,3519;14,4435;13,6254;13,5461;14,4117;0,583781;0,19434;0,348988;1,24152;
CELE_W09D10,5;O18184;Uncharacterized protein;11,0591;10,4695;10,65;10,6379;9,8338;9,90617;9,9447;9,94815;3,0962;0,00144297;0,795917;6,21485;+
mrpl-37;O18199;Mitochondrial Ribosomal Protein, Large;14,3021;14,0533;14,0119;14,1744;15,1784;15,2143;15,1884;14,9744;4,63145;0;-1,00345;-11,7126;+
mop-25,2;O18211;MO25-like protein 2;14,736;15,3897;16,064;14,0619;12,6804;14,0259;13,9576;13,4925;1,54947;0,020284;1,52379;2,87564;+
CELE_Y53C12B,1;O18215;Uncharacterized protein;13,5575;13,2252;12,8937;13,6873;14,1477;13,9251;13,7914;14,0668;1,78405;0,0116897;-0,641823;-3,29834;+
pno-1;O18216;RNA-binding protein pno-1;12,3454;11,577;11,4946;11,6854;13,4959;13,4088;13,6395;14,2123;3,44572;0,000863558;-1,91351;-7,21825;+
nos-3;"O18218;O62486";NanOS related;15,6728;15,6423;15,6402;15,1951;14,9372;15,1204;14,4786;14,902;2,05734;0,00686098;0,678032;3,81976;+
CELE_Y57G11A,4;O18222;Uncharacterized protein;12,1085;11,1786;12,2838;12,5852;13,9742;13,3544;13,6938;13,3681;2,44146;0,00303209;-1,55858;-4,61914;+
CELE_Y57G11B,5;O18224;Uncharacterized protein;16,472;16,3745;16,4665;16,2198;16,7504;17,2366;17,0049;17,0685;2,78301;0,00190312;-0,631885;-5,41009;+
Y57G11C,3;O18229;Putative 6-phosphogluconolactonase;15,5024;15,8942;15,5255;15,5685;15,378;15,6533;15,6862;15,4386;0,292168;0,420045;0,0836027;0,699718;
coq-3;O18235;Ubiquinone biosynthesis O-methyltransferase, mitochondrial;14,6127;14,3261;14,2723;14,2575;14,4307;14,7918;14,8827;14,8336;1,49285;0,023096;-0,367567;-2,77644;+
nuo-3;O18236;NADH Ubiquinone Oxidoreductase;16,2628;16,3734;16,4571;16,5195;16,7964;17,0466;16,784;16,587;1,97639;0,00795677;-0,400322;-3,66164;+
rps-18;O18240;Ribosomal Protein, Small subunit;20,2671;20,2333;20,0934;19,831;20,5838;20,7188;20,5949;20,3688;2,01921;0,00744314;-0,46038;-3,74487;+
CELE_Y7A9A,1;O18256;Uncharacterized protein;12,8813;10,2916;11,4016;12,5407;11,8966;12,2685;12,2243;10,7533;0,00333569;0,988624;-0,00686121;-0,00999581;
frg-1;O18282;Protein FRG1 homolog;12,7709;12,9907;13,0309;13,8797;14,3046;13,7553;13,9403;14,6002;1,72235;0,0133889;-0,982052;-3,18516;+
CELE_ZK909,3;O18307;Uncharacterized protein;15,2712;15,1526;14,6239;14,7953;14,8881;14,5892;14,7465;14,7137;0,668521;0,156654;0,226385;1,38785;
rps-19;O18650;40S ribosomal protein S19;20,2003;20,1815;20,2644;19,2018;19,916;20,0487;20,1274;19,8058;0,0159929;0,948134;-0,012465;-0,0472536;
CELE_F26E4,2;O18686;Uncharacterized protein;10,9622;10,7242;10,7736;9,61831;10,5472;9,85374;10,6383;10,8913;0,0337819;0,896774;0,036927;0,0979493;
CELE_F26E4,6;O18687;Uncharacterized protein;15,1663;16,6818;16,0554;16,6487;16,423;16,2737;16,2026;15,3336;0,0658602;0,809961;0,0798202;0,185045;
acs-2;O18693;Fatty Acid CoA Synthetase family;14,6098;14,1245;14,0479;14,1427;14,8609;15,0084;14,9399;15,2515;2,66112;0,00221379;-0,783935;-5,11818;+
lsm-5;O18694;LSM Sm-like protein;15,4523;14,5404;14,3971;14,2416;13,7697;14,0147;14,2237;14,7187;0,679805;0,152777;0,476142;1,40712;
C24D10,6;O44133;Uncharacterized protein;15,1237;14,6613;14,9853;15,0056;15,049;15,5828;15,481;14,857;0,733379;0,133282;-0,298495;-1,49807;
perm-4;O44144;PERMeable eggshell;19,25;19,1298;19,0963;19,0275;18,4391;18,5154;18,4605;18,7949;3,03837;0,001553;0,573422;6,05995;+
perm-2;O44145;PERMeable eggshell;20,5869;20,4733;20,4542;20,5609;18,8216;18,6998;18,8795;19,1126;5,68587;0;1,64045;17,7394;+
pas-6;O44156;Proteasome subunit alpha type-1;16,8819;16,7088;17,112;17,0071;17,1537;17,0225;17,0047;17,1771;0,832204;0,104431;-0,162015;-1,66404;
vps-37;O44158;Related to yeast Vacuolar Protein Sorting factor;14,8641;14,7818;14,9831;14,5713;14,4036;14,4259;14,5821;14,725;1,22551;0,0411532;0,265938;2,31942;+
CD4,3;O44159;Uncharacterized protein;15,6167;14,4552;14,7916;14,8759;15,0792;15,4081;15,4689;15,3062;0,715761;0,139061;-0,380773;-1,46825;
CELE_F15B10,3;"O44167;V6CK19";Uncharacterized protein;12,7879;12,5972;12,9266;12,9657;11,7228;11,5512;11,7934;11,34;4,05782;0,000281525;1,2175;9,29887;+
rfc-2;O44175;RFC (DNA replication factor) family;14,8686;15,1372;15,102;14,6125;15,0838;14,6369;14,9788;15,2581;0,124328;0,677055;-0,0593102;-0,332174;
CELE_ZC416,6;O44183;Uncharacterized protein;13,7239;13,226;13,5763;13,8258;14,3589;14,2491;14,2876;14,3985;2,79251;0,00192174;-0,735507;-5,43332;+
F33D4,4;O44186;Putative sphingolipid delta(4)-desaturase;14,1328;13,5561;13,9536;13,4595;14,2274;13,5538;13,5889;13,7982;0,0254408;0,919336;-0,0165677;-0,0744097;
rme-2;"O44191;V6CIR8";Receptor Mediated Endocytosis;12,0796;12,0707;12,2169;12,9658;12,7369;12,3161;12,5418;12,3732;0,282358;0,431376;-0,158767;-0,679825;
CELE_ZK185,3;O44195;Uncharacterized protein;14,2817;13,9612;13,7156;13,4881;14,4441;14,5862;14,3309;14,6913;1,87754;0,00985459;-0,651458;-3,47286;+
F37C4,5;O44400;Protein F37C4,5;19,6254;19,5117;19,5574;19,4118;18,6669;18,3327;18,7147;18,5975;4,20045;0;0,948615;9,85271;+
kgb-1;O44408;GLH-binding kinase 1;13,8269;14,0054;14,162;13,6947;14,7448;14,8717;14,7788;14,6713;3,58565;0,000396887;-0,84439;-7,65504;+
T07A9,8;O44410;Ribosomal RNA-processing protein 8;12,7974;12,5388;12,8903;13,5355;15,6079;14,8894;14,1683;14,4271;2,53203;0,00270469;-1,83268;-4,82087;+
nog-1;O44411;Nucleolar GTP-binding protein 1;15,2173;14,6212;14,8335;14,8611;16,6021;16,8302;16,495;16,4523;4,57061;0;-1,71164;-11,4319;+
CELE_T07A9,10;O44412;Uncharacterized protein;10,413;10,6988;10,638;10,8293;10,9357;11,8166;10,6825;10,7448;0,702265;0,143959;-0,400118;-1,44535;
May-02;O44441;ATPase inhibitor mai-2, mitochondrial;21,8466;21,7095;21,8097;21,5053;21,2239;21,2552;20,935;20,8919;2,72332;0,00219771;0,641273;5,26574;+
"B0546,5;CELE_F16D3,6";"O44442;Q19494";Uncharacterized protein;11,0715;10,7251;10,7743;10,7154;12,0814;13,5489;13,6146;13,7763;3,02981;0,00162738;-2,43372;-6,03728;+
C02B10,3;O44443;EGF-like domain-containing protein C02B10,3;15,3058;15,27;15,2306;15,5059;15,1475;15,1515;15,5917;15,2387;0,142639;0,641784;0,0457478;0,375724;
C02B10,4;O44444;Uncharacterized protein;16,379;16,5985;16,6649;16,4741;16,0879;16,2619;16,372;16,4156;1,34674;0,0308985;0,244802;2,52463;+
snpn-1;O44445;SNAPIN protein homolog;16,6126;16,2215;16,1091;14,1579;14,9145;15,9058;13,6421;16,0294;0,361556;0,34672;0,652315;0,836428;
pdhb-1;O44451;Pyruvate dehydrogenase E1 component subunit beta, mitochondrial;18,112;17,9416;17,9008;18,3932;17,2701;17,1517;17,0217;17,092;3,60259;0,000403162;0,95303;7,70939;+
grd-10;O44471;GRounDhog (Hedgehog-like family);16,7949;16,8183;16,8563;17,3076;15,9438;15,2385;15,5237;15,4835;3,48407;0,000586572;1,39691;7,33588;+
hoe-1;O44476;Ribonuclease Z;14,0656;13,8163;13,8798;12,9847;14,7186;14,3286;14,4541;14,7425;1,8161;0,0110361;-0,874357;-3,35775;+
tim-17;O44477;Probable mitochondrial import inner membrane translocase subunit Tim17;14,1846;12,5868;12,4964;12,5316;10,915;6,57989;12,7079;11,0616;0,984753;0,0707048;2,63377;1,91786;
rpl-20;O44480;60S ribosomal protein L18a;18,7723;18,5204;18,7429;18,6194;18,2045;18,9684;19,1685;18,4148;0,0373572;0,886884;-0,02528;-0,10792;
set-9;O44498;Histone-lysine N-methyltransferase set-9;13,7378;13,3787;13,476;12,8024;13,0512;12,5678;13,3983;13,167;0,530534;0,222738;0,302664;1,14777;
fnta-1;O44501;FarNesylTransferase, Alpha subunit;14,7189;14,4024;14,8149;14,7844;14,3079;14,4037;14,3263;14,5484;1,38685;0,028083;0,283613;2,5932;+
cogc-8;O44502;Conserved oligomeric Golgi complex subunit 8;11,0889;11,7891;11,276;11,5068;11,8939;12,0639;11,8248;12,4306;1,7001;0,0143803;-0,638092;-3,14472;+
CELE_R02D3,1;"O44503;U4PFH6";Uncharacterized protein;16,7483;16,718;16,8002;16,526;16,9824;17,2652;17,3012;17,1843;2,70123;0,00217508;-0,485125;-5,213;+
CELE_F42G8,10;O44509;Uncharacterized protein;16,7121;16,3977;16,3962;15,9506;16,7767;16,4573;16,7588;16,5226;0,734493;0,132975;-0,264729;-1,49995;
moc-3;O44510;Adenylyltransferase and sulfurtransferase MOCS3;12,6889;11,5405;11,4976;11,7085;9,82543;13,3947;10,7909;11,0989;0,302728;0,40812;0,581376;0,720964;
sph-1;O44511;SynaptoPHysin;16,4284;15,3394;16,0199;15,2983;15,2432;15,0995;15,9208;15,606;0,40499;0,309493;0,30412;0,918961;
isp-1;O44512;Cytochrome b-c1 complex subunit Rieske, mitochondrial;20,3234;20,1128;20,2554;20,0402;19,3607;20,5862;20,211;19,6429;0,35355;0,35395;0,232772;0,820979;
CELE_F56A11,5;"O44517;U4PC34";Uncharacterized protein;14,642;14,5533;14,4389;14,6586;15,4504;16,7005;16,3901;15,3055;2,1435;0,00575533;-1,3884;-3,99176;+
gex-2;O44518;Cytoplasmic FMR1-interacting protein homolog;13,9378;13,3078;12,8167;12,8792;13,2392;13,1078;13,0834;11,0068;0,47792;0,2558;0,62608;1,0534;
acdh-3;O44549;Acyl CoA DeHydrogenase;17,609;17,4447;17,5438;17,2617;17,6629;17,6482;17,6212;17,9681;1,23863;0,0400179;-0,260302;-2,34149;+
CELE_K06A5,2;O44551;Uncharacterized protein;11,0108;10,6888;10,5239;10,8089;13,3289;13,3024;12,9273;13,6439;5,11991;0;-2,54251;-14,2114;+
alh-5;O44555;Aldehyde dehydrogenase;13,8857;14,1364;14,2567;13,784;14,2852;14,8563;14,8569;15,1036;1,99927;0,00768217;-0,759805;-3,70602;+
