Genes;ProteinAccessions;ProteinDescriptions;log2 daf2_d1_01;log2 daf2_d1_02;log2 daf2_d1_03;log2 daf2_d1_04;log2 eat2_d1_01;log2 eat2_d1_02;log2 eat2_d1_03;log2 eat2_d1_04; -Log.p.value;Student's T-test q-value daf2_d1_eat2_d1;log2FC;Student's T-test Test statistic daf2_d1_eat2_d1;Sign p-val: 0.05 
CELE_Y14H12B,1;"G4SJZ3;H2L064;Q8ITV5";Uncharacterized protein;14,7714;14,9244;14,8208;15,2707;15,1965;15,4027;15,2196;15,5293;1,52792;0,0235483;-0,39019;-2,83777;+
pqn-52;G4SL51;Prion-like-(Q/N-rich)-domain-bearing protein;16,8468;16,6114;16,7582;16,8614;16,2978;16,229;16,1336;16,3166;3,51081;0,000771429;0,52516;7,4188;+
ttn-1;G4SLH0;Titin homolog;17,6206;17,4105;17,5928;17,5195;17,6051;16,6837;16,7523;16,8716;1,36866;0,0343909;0,557707;2,56206;+
CELE_ZC449,8;G4SLU9;Uncharacterized protein;12,0007;12,0225;12,9303;13,2509;12,5279;12,0755;11,6486;11,7934;0,704155;0,159612;0,53973;1,44857;
CELE_T10F2,5;G4SNB8;Uncharacterized protein;12,9416;13,0095;13,2071;13,4293;12,4419;12,7721;11,6065;12,705;1,41644;0,0304469;0,765528;2,64406;+
CELE_Y48A5A,3;G4SP89;Uncharacterized protein;15,032;15,0104;14,9732;14,8842;14,9515;14,4279;14,2976;15,245;0,49732;0,262552;0,244455;1,08842;
CELE_Y71G10AL,1;"G4SPY0;G4SPY1";Uncharacterized protein;15,6393;15,5243;15,8855;15,2797;15,2914;15,1258;14,7374;14,9926;1,71607;0,0163202;0,545398;3,17374;+
slc-36,2;G4SQY7;SLC (SoLute Carrier) homolog;14,4529;14,3534;14,4812;14,2996;14,4249;14,4981;14,8756;14,7032;1,07519;0,0660096;-0,228662;-2,06815;
abtm-1;G4SRS5;ABC Transporter, Mitochondrial;14,7624;14,5973;14,0933;14,4623;14,7678;14,6019;14,6211;14,8542;0,736223;0,14822;-0,232453;-1,50288;
CELE_Y39A3CL,4;"G4SRU7;Q965X3";Uncharacterized protein;14,9173;14,8464;14,9115;14,6313;15,9569;14,4864;14,3179;16,2729;0,372012;0,362923;-0,431917;-0,856488;
glo-1;G5EBF0;Gut granule LOss;11,5736;11,693;12,2013;12,1986;12,2227;11,3401;12,1204;12,0834;0,0329947;0,912377;-0,0250468;-0,0957446;
pud-2,1;G5EBF3;Protein Up-regulated in Daf-2(Gf);21,4709;21,354;21,3944;21,4374;19,7728;19,5711;19,9201;19,7539;6,22306;0;1,65975;21,862;+
CELE_T28H10,3;G5EBF4;Uncharacterized protein;16,5054;16,4327;16,2166;16,2591;15,8242;15,3043;15,6384;15,8591;2,53309;0,00299788;0,696925;4,82327;+
rde-4;G5EBF5;RNA interference promoting factor;14,2777;14,0469;14,2641;14,04;14,3245;13,7425;13,8449;13,9555;0,635777;0,188559;0,190323;1,33166;
him-3;G5EBG0;High Incidence of Males (Increased X chromosome loss);13,7862;13,5186;13,419;14,2899;14,6731;15,4196;15,0472;15,7447;2,54398;0,00297106;-1,46773;-4,84791;+
CELE_Y57G11A,2;G5EBG1;Uncharacterized protein;12,472;11,6096;12,4385;11,874;12,0443;11,9095;13,0769;12,5729;0,387172;0,348232;-0,30237;-0,885354;
CELE_Y43F4B,9;G5EBG2;Uncharacterized protein;15,1719;15,1107;15,0606;16,6649;14,3741;14,1761;13,7029;14,2833;1,77857;0,0141723;1,36793;3,28823;+
clec-209;G5EBG4;C-type LECtin;14,1366;13,1666;13,7995;14,1349;16,9402;16,2961;16,7746;15,6357;3,37713;0,000696774;-2,60226;-7,01179;+
tat-5;"G5EBH1;G5EE81;G5EGE0";Phospholipid-transporting ATPase;13,7186;13,7181;12,8222;13,5415;12,7155;13,5508;13,5595;13,4974;0,154232;0,644108;0,11934;0,402764;
sma-1;"G5EBH3;G5EC35;G5EFW3";"SMAll;Beta chain spectrin homolog Sma1;SMAll";15,4858;14,9698;15,1792;15,5124;15,7001;16,4016;15,9839;16,1133;2,1027;0,00711111;-0,762963;-3,90983;+
calu-1;G5EBH7;CALUmenin (Calcium-binding protein) homolog;18,8818;18,7291;18,8451;18,712;18,6904;18,1766;18,19;18,4337;1,767;0,0146519;0,41937;3,2669;+
4D656;G5EBI0;4D656;17,2052;17,2204;17,1451;17,0966;17,6282;17,3876;17,0669;17,4816;0,934404;0,09143;-0,224223;-1,83423;
ceeh-1;G5EBI4;Epoxide hydrolase 1;10,9564;10,6011;10,7586;10,7727;10,6897;10,307;10,5658;10,0362;1,21177;0,0488613;0,372527;2,29633;+
"CELE_F42H11,1;CELE_K07A1,5;C36F7,5";"G5EBJ0;O01340;Q93351";Uncharacterized protein;13,3;12,5375;11,9828;12,2416;12,7969;11,5486;11,8774;11,6645;0,648035;0,182748;0,543634;1,35275;
fbp-1;G5EBJ7;Fructose-1,6-BiPhosphatase;19,287;19,2309;19,2351;19,1069;18,0756;18,6487;18,2934;18,2836;3,41414;0,000723214;0,889672;7,12259;+
CELE_Y59E9AR,1;G5EBJ8;Major sperm protein;21,0989;20,957;21,1261;20,7174;20,0398;20,1969;19,6451;20,1187;3,1357;0,000892035;0,974715;6,32239;+
fmo-2;G5EBJ9;Flavin-containing monooxygenase;11,3115;11,999;13,2787;12,1388;15,9695;15,7175;15,8095;15,8411;3,9458;0,000180556;-3,6524;-8,88343;+
pbo-4;G5EBK1;Na(+)/H(+) exchanger protein 7;13,0767;13,1468;13,6065;13,1276;14,0395;12,6506;13,6132;12,5236;0,0288005;0,923259;0,0326629;0,083939;
erm-1;G5EBK3;ERM-1B;17,2665;17,2189;17,261;17,2878;18,0656;18,1954;18,036;18,3044;5,08636;0;-0,891808;-14,0249;+
atg-7;G5EBK4;AuTophaGy (Yeast Atg homolog);13,83;14,25;13,7463;13,7828;12,6204;13,1074;13,5103;12,4853;1,99679;0,00853199;0,971407;3,70119;+
ras-1;G5EBK8;GTP binding protein;11,9751;12,0742;11,4399;12,8689;11,523;12,4391;11,4283;12,6274;0,0713275;0,816677;0,0850573;0,199394;
sas-7;G5EBL8;Uncharacterized protein;12,6042;11,6113;12,7234;11,9858;12,9405;11,7743;11,8117;12,5517;0,0340817;0,909646;-0,0383716;-0,0987882;
ego-2;"G5EBN5;H8ESG1";Enhancer of Glp-One (Glp-1);14,0038;13,1579;14,1842;13,2312;14,2319;14,1191;14,6497;14,4693;1,33676;0,0372577;-0,723197;-2,50762;+
snf-3;G5EBN9;Sodium- and chloride-dependent betaine transporter;15,5817;15,3714;15,5434;15,0107;15,4792;15,0573;15,0957;15,347;0,342787;0,391494;0,131988;0,800087;
CELE_K08C7,6;G5EBP0;Uncharacterized protein;13,8138;11,6437;11,4202;12,9658;13,4414;13,6063;13,596;13,896;1,06302;0,0679175;-1,17405;-2,04791;
CELE_ZC247,1;G5EBP5;Uncharacterized protein;19,9868;19,8978;19,8625;19,4892;19,7396;19,1096;18,7868;19,2091;1,41537;0,0304355;0,59783;2,64222;+
gdi-1;"G5EBR1;Q2V4S2";Rab GDP dissociation inhibitor;17,9787;17,9845;17,9804;18,0509;18,1724;18,3068;18,4501;18,3812;2,74251;0,00219487;-0,32899;-5,31185;+
srp-7;G5EBT3;SeRPin;16,2425;15,5629;15,6681;15,4294;15,5889;15,3236;15,3797;15,5093;0,709346;0,157529;0,27538;1,45738;
CELE_F17C11,12;"G5EBT8;G5EC34";Uncharacterized protein;13,8514;13,1139;13,4882;13,3781;13,8495;14,4147;12,565;13,0828;0,0155747;0,957232;-0,0200922;-0,0460387;
CELE_H27A22,1;"G5EBT9;G5EF46";Uncharacterized protein;14,2054;14,0485;14,9957;13,5616;14,0403;13,992;13,9983;14,0808;0,237314;0,511792;0,174985;0,58636;
zmp-3;G5EBU3;Matrix metalloproteinase-C;13,4109;13,9049;13,6934;13,7276;13,8315;13,0454;13,0241;13,7492;0,517629;0,250433;0,271655;1,1248;
CELE_T12D8,9;"G5EBU8;G5EFT0";Uncharacterized protein;14,9791;14,9635;15,2616;15,1125;15,2231;15,0513;14,9862;15,2342;0,187375;0,588894;-0,0445077;-0,477999;
ipla-3;"G5EBV1;G5EC56;G5EGD6";Intracelllar PhosphoLipase A family;11,8166;11,6088;10,9843;10,8964;10,2936;10,5196;8,42579;10,5708;1,30313;0,0400623;1,37407;2,45048;+
lec-10;G5EBV4;Galectin;17,1212;16,8156;16,7659;16,2286;16,7792;16,2777;17,0155;16,9282;0,0238466;0,936101;-0,0173397;-0,0698651;
flp-12;G5EBV5;FMRF-Like Peptide;14,0973;13,5683;13,8105;15,1446;13,1241;13,1515;13,3085;13,929;1,01508;0,0759939;0,776913;1,96822;
pgl-3;"G5EBV6;Q965J2";"PGL-3;Uncharacterized protein";14,9623;14,7448;14,5513;14,5914;15,3757;15,5621;15,3365;15,4993;3,31682;0,000788501;-0,730947;-6,83424;+
usp-50;G5EBW2;Ubiquitin Specific Protease;10,9984;10,6653;10,5765;10,6021;10,8775;12,4296;12,0202;12,5721;1,72523;0,0161417;-1,26427;-3,19041;+
CELE_T19A6,1;"G5EBW4;G5EDW0;G5EE99";Uncharacterized protein;10,9356;10,6662;10,8008;10,829;10,718;10,2958;10,4214;10,6138;1,44494;0,0287781;0,29566;2,69325;+
fecl-1;G5EBW5;FErroChelatase-Like;13,8996;13,6735;13,8372;13,4742;14,0003;13,7306;13,7836;13,7555;0,368313;0,366227;-0,0963755;-0,849405;
klp-18;G5EBX0;Kinesin-like protein;13,9567;14,4224;14,1788;13,1805;12,9842;12,7218;12,8175;13,8117;1,2281;0,047152;0,850794;2,32377;+
rtfo-1;G5EBY0;RNA polymerase-associated protein RTF1 homolog;13,6287;13,4431;13,2985;13,9617;13,9794;13,0805;12,9655;13,4804;0,324382;0,410771;0,20653;0,764009;
nmy-2;G5EBY3;Non-muscle MYosin;15,6334;15,5654;15,5197;15,2645;15,8606;15,2633;15,5516;15,6512;0,2347;0,515431;-0,0859427;-0,580818;
let-418;G5EBZ4;Protein let-418;14,2694;14,1173;13,8118;13,8515;14,7459;14,5059;14,505;14,81;2,45656;0,00331187;-0,62919;-4,6524;+
evl-14;G5EC05;Uncharacterized protein;13,1722;12,3261;12,6723;12,1404;12,9912;13,4111;13,0314;13,3355;1,30606;0,0399504;-0,61454;-2,45544;+
lec-9;G5EC10;Galectin;18,1528;17,927;18,1633;18,3921;16,9533;17,1236;17,0062;17,4861;3,25047;0,000860465;1,01648;6,64306;+
smn-1;"G5EC16;G5EFQ8";SMN (Human Survival Motor Neuron gene) homolog;13,6118;14,0378;13,5622;13,6713;14,3415;13,6809;14,1579;13,9467;0,879372;0,104334;-0,310995;-1,7427;
obr-3;"G5EC19;Q8MPR9";Oxysterol Binding protein (OSBP) Related;14,708;13,3486;13,6127;12,9883;12,5522;13,0299;12,9545;12,5921;1,19015;0,0513798;0,88225;2,26006;
CELE_F55G11,4;G5EC22;Uncharacterized protein;16,7356;16,734;16,4268;16,7307;16,6537;16,2509;16,5236;16,532;0,708637;0,157875;0,16676;1,45617;
hcf-1;G5EC23;HCF1 related;14,3796;14,6903;14,3495;14,7049;15,2246;14,8988;14,9807;15,2168;2,30314;0,00468124;-0,54914;-4,32128;+
ptp-2;G5EC24;Tyrosine-protein phosphatase non-receptor type ptp-2;12,993;12,327;12,6453;12,224;13,4391;14,0009;13,0917;13,0737;1,66167;0,0185;-0,854022;-3,0753;+
alh-6;G5EC31;ALdehyde deHydrogenase;17,2372;17,0348;17,1672;16,9763;17,5444;17,1949;17,344;17,5119;1,58154;0,0210836;-0,29496;-2,93227;+
sorb-1;G5EC32;SORBin homolog;14,3806;13,5329;13,5641;13,1717;13,573;15,0856;13,3884;13,4396;0,168705;0,620742;-0,209315;-0,435977;
tre-1;G5EC40;Trehalase;12,5676;13,4595;13,4491;12,7649;13,6257;13,0903;13,86;13,681;0,89739;0,0995313;-0,504002;-1,77269;
zen-4;"G5EC43;G5EG83;Q8MQ03;Q8MQ04;V6CL80;V6CLB1";Kinesin-like protein;12,5338;12,5308;12,5377;12,3869;14,8134;14,1014;13,6254;13,8238;3,04323;0,00114474;-1,59375;-6,07286;+
CELE_F53F4,14;G5EC45;Uncharacterized protein;13,0095;13,1206;13,2628;12,0604;14,5335;13,7012;13,8733;13,2499;1,36892;0,0343825;-0,976147;-2,56251;+
nspc-15;G5EC48;Nematode Specific Peptide family, group C;13,224;13,5916;13,2505;12,5642;10,5995;10,2956;10,1804;10,2672;4,71149;0;2,82186;12,0917;+
mboa-3;G5EC53;Lysophospholipid acyltransferase;13,4448;13,667;13,1297;12,64;11,7894;13,3375;13,0949;12,5637;0,60706;0,202734;0,52403;1,28203;
mpz-1;"G5EC55;G5EC95;G5ECZ8";Multiple PDZ domain protein;15,8464;18,8195;18,2856;18,8307;16,7646;17,4533;15,9284;16,7156;0,784458;0,13248;1,23006;1,58409;
2O16;G5EC67;2O16;15,2823;14,9422;14,7971;14,8628;15,3897;15,2471;15,3118;15,6946;1,62123;0,0198889;-0,439683;-3,00283;+
gst-20;G5EC71;Glutathione S-Transferase;17,491;17,3878;17,5146;17,4638;16,6103;16,0943;17,2072;17,4208;1,09079;0,0639612;0,63111;2,09412;
alp-1;G5EC72;ALP/Enigma encoding;15,3503;15,1493;14,76;14,2053;14,2084;12,7007;13,5301;13,0355;1,95608;0,00948987;1,49756;3,62249;+
clh-6;G5EC75;Chloride channel protein;11,4179;12,2047;11,2952;12,0099;12,2457;12,4911;11,9061;11,9735;0,811239;0,123142;-0,42224;-1,62898;
ubql-1;"G5EC78;G5EFF7";UBiQuiLin;17,8231;17,5839;17,6591;17,5783;17,5738;17,0706;17,0526;17,3311;1,6053;0,0204498;0,404075;2,97445;+
CELE_ZK1307,8;G5EC87;Uncharacterized protein;17,1817;16,9064;16,8032;16,8881;16,0134;16,2857;16,4687;16,3924;2,64239;0,00274473;0,654812;5,07431;+
dpy-11;G5EC91;DumPY: shorter than wild-type;15,6013;15,7044;15,8886;16,3634;16,5802;16,7071;16,0091;16,2066;1,08179;0,0648853;-0,486305;-2,07913;
CELE_F02D8,4;G5EC96;Uncharacterized protein;14,8984;14,5843;14,9595;14,4215;14,6428;14,2331;14,335;14,888;0,433873;0,310875;0,191197;0,972768;
cyp-29a2;G5EC97;CYtochrome P450 family;13,3558;13,0803;12,7961;13,4176;14,1433;13,4891;13,7391;13,1778;0,979044;0,0829111;-0,474845;-1,90838;
ctps-1;G5EC98;CTP synthase;15,848;15,9545;15,9488;15,5646;15,6961;15,7872;15,6635;15,6827;0,602287;0,204246;0,121615;1,27374;
mpst-6;G5ECA0;MercaptoPyruvate SulfurTransferase homolog;10,7134;11,7306;9,21757;9,68579;13,5188;11,2221;10,4693;12,6328;0,934144;0,0914727;-1,62389;-1,8338;
CELE_F29C6,1;G5ECA2;Uncharacterized protein;14,189;13,3893;13,3792;13,2066;12,7393;14,0626;13,4428;13,4508;0,12592;0,696715;0,117153;0,336004;
CELE_T02D1,8;G5ECA7;Uncharacterized protein;17,1537;16,8303;16,8412;16,7356;16,8525;16,6974;16,5655;17,0571;0,290416;0,449542;0,097115;0,696177;
srap-1;G5ECB4;Serine Rich Adhesion Protein-like;16,7105;16,2732;16,2647;16,356;14,584;14,4671;14,8776;14,6641;4,86925;0;1,75289;12,8726;+
CELE_T04A11,2;G5ECB5;Uncharacterized protein;13,712;13,5316;13,9621;13,8189;13,9489;13,405;14,3234;14,2847;0,456421;0,292977;-0,23435;-1,01424;
nhx-4;"G5ECB7;G5EDU2";Sodium/hydrogen exchanger;12,6801;11,978;12,3069;14,8504;10,5648;9,90875;10,3841;10,6187;2,08227;0,0071142;2,58476;3,86913;+
mex-1;G5ECB9;MEX-1;11,0279;10,5122;10,6484;10,5022;13,8643;12,9583;14,0207;14,2392;4,25811;0;-3,09792;-10,0849;+
klp-16;G5ECC0;Kinesin like protein;17,614;16,7852;18,0428;16,6368;16,2036;16,1943;15,4916;15,3469;1,94692;0,00960055;1,46058;3,60489;+
CELE_F13G3,10;G5ECC1;Uncharacterized protein;16,0104;15,8363;15,777;15,591;15,7405;15,7636;15,255;16,122;0,162306;0,630483;0,0833802;0,421365;
usp-48;G5ECC7;Ubiquitin carboxyl-terminal hydrolase;12,1532;13,0875;12,1462;12,7892;7,56559;11,32;11,9173;12,7926;0,675468;0,171664;1,64519;1,39972;
CELE_K11B4,1;G5ECC9;Uncharacterized protein;14,7306;14,3123;14,1881;14,2078;15,1236;14,8472;14,9048;15,2231;2,29148;0,00485482;-0,66494;-4,29671;+
cyp-35c1;G5ECD0;CYtochrome P450 family;11,1819;12,1452;11,3896;11,3305;13,5411;13,3418;13,8535;13,7682;3,87926;0,000167203;-2,1143;-8,64449;+
mel-11;"G5ECD7;G5EEB3;G5EG29;G5EGT0";"Uncharacterized protein;MEL-11;Uncharacterized protein;Uncharacterized protein";14,1729;14,1467;14,2269;13,9915;13,7304;13,289;13,4363;13,8517;2,15137;0,00643563;0,557667;4,00765;+
lam-3;G5ECE3;LAMinin related, See also lmb;13,0932;12,614;11,8344;11,8187;11,4447;12,156;11,5704;11,9845;0,766726;0,138286;0,551173;1,5543;
C34E7,4;G5ECE7;Uncharacterized protein;17,4459;17,1746;17,1886;17,2011;16,6812;16,8463;16,8532;16,909;2,73619;0,00218089;0,430145;5,29664;+
bmk-1;"G5ECF4;G5EGL7";Kinesin-like protein;13,9119;13,4659;13,2796;13,5577;13,2837;12,8543;12,6979;12,4173;1,78494;0,0140125;0,740495;3,29998;+
CELE_F07B7,2;G5ECF6;Uncharacterized protein;11,8776;11,3077;10,7829;11,1292;13,4871;11,8089;13,6502;13,1259;1,97654;0,00924305;-1,74372;-3,66195;+
CELE_Y59E9AL,2;G5ECF8;Uncharacterized protein;15,3802;15,1665;15,3651;15,3591;14,7681;14,8565;14,5816;15,3506;1,32954;0,0378916;0,428552;2,49533;+
tac-1;G5ECG0;Transforming acid coiled-coil-containing protein 1;14,8012;15,1556;15,2351;15,2263;14,6997;14,9064;14,8281;14,4706;1,44971;0,02846;0,378363;2,7015;+
dsc-4;G5ECG7;Defecation Suppressor of Clk-1;16,492;16,3971;16,4492;16,1567;16,4342;15,9994;16,1126;16,5086;0,324408;0,41086;0,11007;0,764061;
hda-3;G5ECH0;Histone deacetylase;11,9956;12,1914;12,9985;12,1572;13,8637;12,6589;13,1058;13,6971;1,50085;0,0252496;-0,995713;-2,7904;+
ppfr-1;"G5ECH5;G5ED93;G5EFI6";Protein Phosphatase Four Regulatory subunit;12,6633;12,6847;12,4455;12,7004;13,0703;13,6642;13,8276;13,512;2,68025;0,00249515;-0,895062;-5,16325;+
CELE_K08D8,6;"G5ECH9;M1Z859";Uncharacterized protein;15,1245;15,0588;15,092;15,2994;15,542;15,335;15,3545;15,2244;1,38673;0,0328389;-0,220295;-2,59301;+
CELE_Y37A1B,17;"G5ECK4;G5EE73";Uncharacterized protein;13,4149;13,198;13,4771;13,4458;14,3734;13,8049;13,7246;14,1764;2,06228;0,00738204;-0,635892;-3,82952;+
dli-1;"G5ECK7;G5ED34";Dynein Light Intermediate chain;14,4202;14,4139;14,8394;14,3736;15,9513;14,966;15,0824;15,7484;1,87581;0,0114365;-0,92525;-3,46959;+
CELE_M05D6,2;G5ECL1;Uncharacterized protein;13,7775;13,1918;12,1422;12,6969;13,064;12,5517;12,5131;12,9678;0,185124;0,592321;0,177965;0,472979;
prp-21;G5ECL3;Pre-RNA processing 21;14,918;17,0863;17,62;18,5363;18,8603;16,8223;18,388;17,1272;0,360042;0,375397;-0,75932;-0,833511;
bam-2;G5ECL4;BAM-2;11,8057;12,5564;12,6996;11,9926;11,9501;12,4304;13,3388;14,1693;0,628247;0,192174;-0,708569;-1,31868;
CELE_F26D2,15;G5ECL7;Uncharacterized protein;16,0487;16,001;16,4607;16,4742;16,3507;15,6108;16,0147;15,2233;0,803673;0,125616;0,446293;1,61631;
dcp-66;"G5ECM2;G5ED89";Deacetylase Complex Protein;15,1027;14,5687;15,1642;14,8988;14,8265;14,1451;14,3887;14,065;1,42206;0,0301472;0,577238;2,65375;+
tufm-1;G5ECM6;Elongation factor Tu homologue;18,3636;18,0018;18,0044;18,0078;18,3003;18,1401;18,1278;18,291;0,554134;0,230022;-0,120383;-1,18952;
cpi-2;G5ECM9;Cystatin;18,3629;18,1791;18,4111;18,569;17,3528;17,2597;17,1586;17,3305;4,71114;0;1,10508;12,09;+
egl-3;G5ECN9;Neuroendocrine convertase 2;14,7058;14,2776;14,3916;14,4093;14,6313;13,5317;13,2296;12,9299;1,19261;0,0511493;0,865448;2,26417;
sth-1;G5ECQ4;Novel protein;13,3428;13,4184;13,7459;13,4453;13,6192;13,6509;13,4958;13,5519;0,42686;0,316435;-0,0913577;-0,959776;
CELE_T25C12,3;G5ECR0;Uncharacterized protein;16,8542;16,6727;16,4661;16,6515;17,0417;16,5693;17,0155;17,2821;0,959802;0,0868333;-0,31609;-1,87642;
mbd-2;G5ECR1;Methyl-CpG BinDing protein;13,3809;13,2687;12,9322;12,8405;12,9304;13,0324;12,623;11,8741;0,840743;0,114773;0,490595;1,6783;
sod-4;"G5ECR5;P34461";"Superoxide dismutase [Cu-Zn];Extracellular superoxide dismutase [Cu-Zn]";14,6861;14,0204;14,1578;13,7233;14,281;14,4803;14,6495;14,4649;0,733423;0,149032;-0,322;-1,49815;
C01B4,6;G5ECR6;Aldose 1-epimerase;15,0343;14,0431;14,5416;14,2058;16,181;15,894;15,9871;15,9595;3,30949;0,000782077;-1,54916;-6,81289;+
elb-1;G5ECR7;ELongin B;16,239;15,8602;16,1942;16,1334;15,6482;15,2936;15,5116;15,9609;1,66259;0,0185029;0,50311;3,07695;+
gba-3;G5ECR8;Putative glucosylceramidase 3;12,3304;13,4258;13,4557;13,4279;14,2293;13,077;13,4946;13,8733;0,657889;0,178139;-0,508598;-1,36965;
cpt-2;G5ECS9;Carnitine Palmitoyl Transferase;16,6679;16,4825;16,51;16,4089;16,1311;16,2894;16,1171;16,2149;2,5509;0,00299352;0,329191;4,8636;+
CELE_F15E6,3;G5ECT2;RNA binding protein;16,336;16,2468;16,1883;16,1108;13,8478;13,5561;13,6107;13,5035;6,9453;0;2,59091;28,9118;+
gpc-2;G5ECT6;G Protein, Gamma subunit;18,0127;17,8957;17,8749;17,7731;17,4237;17,6081;17,688;17,6937;1,93225;0,0098092;0,28574;3,57678;+
skr-1;G5ECU1;Skp1-related protein;17,1285;17,1825;17,1514;16,9729;17,2582;16,4166;17,0216;17,1842;0,294835;0,44383;0,138648;0,7051;
"CELE_F01G4,6;F01G4,6";"G5ECU3;P40614";"Uncharacterized protein;Phosphate carrier protein, mitochondrial";21,3972;21,2432;21,2793;21,2016;21,4383;21,5712;21,4165;21,5342;2,01404;0,00826511;-0,209735;-3,73478;+
CELE_F44E5,4;G5ECU5;Uncharacterized protein;18,0294;18,5427;18,0652;18,9746;17,8692;17,7101;16,1502;18,0704;0,993701;0,080091;0,952995;1,93272;
alh-3;G5ECV9;10-formyltetrahydrofolate dehydrogenase;17,4706;17,0367;17,0008;16,9815;17,2165;17,4286;17,2652;17,3764;0,779438;0,134413;-0,199263;-1,57566;
ncx-3;G5ECW0;Na/Ca eXchangers;12,8356;12,2081;12,4359;12,0309;12,4322;13,0192;12,9535;12,3786;0,625926;0,193226;-0,31824;-1,31468;
ehbp-1;G5ECW3;EH (Eps-15-homology) domain Binding Protein family;12,3919;12,6428;12,6599;12,5815;12,9958;13,1312;12,0228;13,0354;0,369911;0,364664;-0,227238;-0,852468;
dpt-1;"G5ECW7;Q9U3K7";Dipeptidyl peptidase 3;17,3132;16,87;17,4166;17,151;17,1889;17,6994;16,7936;17,7601;0,278062;0,462944;-0,172811;-0,671064;
cdr-2;G5ECX9;CaDmium Responsive;15,7697;15,3601;15,0061;14,7659;16,0047;15,5405;15,6047;15,5739;0,953239;0,08761;-0,455535;-1,86552;
dlg-1;G5ECY0;Drosophila Discs LarGe homolog;16,5946;16,5841;16,5023;16,6301;16,5629;16,2505;16,2903;16,4548;1,28847;0,0414357;0,188168;2,42564;+
skr-8;G5ECY4;SKR-8;15,3724;15,1311;14,5854;14,6735;15,1105;15,7111;14,7535;15,2282;0,424726;0,318296;-0,260252;-0,955814;
chn-1;G5ECY6;C-term of Hsp70-iNteracting protein (CHIP family);13,0071;12,575;11,1716;14,2211;11,8925;12,7301;12,2237;13,4072;0,0925188;0,766796;0,180316;0,253791;
hum-5;G5ECZ0;Heavy chain, Unconventional Myosin;14,0759;13,8336;13,9378;13,9043;13,9428;13,8892;13,9455;13,5729;0,436203;0,309291;0,100317;0,977075;
unc-44;G5ECZ1;AO66 ankyrin;16,3552;16,2788;16,3272;16,4718;16,5289;16,3006;16,0897;16,8324;0,190291;0,584156;-0,0796347;-0,484482;
ret-1;"G5ECZ2;G5EDI2";Reticulon-like protein;18,5274;18,37;18,4642;18,1878;17,7898;17,5443;17,3812;17,8086;3,00594;0,00139269;0,756365;5,97439;+
inos-1;G5ED01;INOsitol-3-phosphate Synthase;16,378;16,2068;16,3818;16,3389;16,5617;16,7425;16,6723;16,6911;3,04701;0,00115232;-0,340552;-6,08291;+
pdi-3;G5ED07;Protein disulfide-isomerase;19,5013;19,4994;19,611;19,5469;19,3819;19,3399;19,3523;19,4615;2,20333;0,00596985;0,155733;4,11356;+
unc-1;"G5ED08;Q21190";"Stomatin-like protein UNC-1;Protein unc-1";14,2271;13,0206;13,6525;13,6773;13,5775;13,9757;14,34;12,8366;0,0323142;0,914134;-0,038065;-0,093836;
C27A7,6;"G5ED11;H9G2Z4";Uncharacterized protein;13,1708;13,0427;13,0516;12,9355;14,9685;13,2713;13,3334;14,6343;1,1973;0,050482;-1,00175;-2,27204;
hpo-11;G5ED17;Uncharacterized protein;13,5547;13,3146;13,5357;13,3711;13,7082;13,1028;13,1742;12,6337;0,599725;0,20541;0,28933;1,26929;
rpoa-1;G5ED21;DNA-directed RNA polymerase subunit;14,2513;13,9018;12,9521;13,0578;14,0673;13,4053;13,7599;13,9812;0,31667;0,419761;-0,262654;-0,748757;
him-4;"G5ED27;G5EG33";"High Incidence of Males (Increased X chromosome loss);Hemicentin";15,6226;15,4827;15,3516;15,3064;15,7109;15,5543;15,6327;15,9453;1,29962;0,0405584;-0,269995;-2,44453;+
atx-2;G5ED29;Ataxin-2 homolog;16,351;16,1926;16,3031;16,3133;17,4393;17,3826;17,0058;17,4712;4,01713;0,000195489;-1,0347;-9,14601;+
ucr-2,1;"G5ED31;G5EDD1";Ubiquinol-Cytochrome c oxidoReductase complex;18,4284;18,218;18,1957;17,9212;18,4411;18,2068;18,1532;18,3658;0,350201;0,383816;-0,100875;-0,814493;
eps-8;"G5ED33;O18250;Q7YTG1";EPS (Human endocytosis) related;16,5079;16,1436;16,0114;15,9171;16,6831;16,2973;16,1661;16,636;0,828987;0,118291;-0,300629;-1,65866;
rme-8;"G5ED36;O62178";"Endocytosis protein RME-8;Receptor Mediated Endocytosis";14,8516;14,2033;16,2626;16,2168;14,3077;14,1882;15,7401;15,9319;0,195512;0,575114;0,341585;0,496038;
cand-1;G5ED41;Cullin-associated NEDD8-dissociated protein 1;16,1423;15,828;15,8778;15,4266;15,5104;15,9124;15,8415;15,8543;0,0811129;0,792627;0,0390124;0,224746;
fat-5;G5ED44;Delta(9)-fatty-acid desaturase fat-5;14,3499;13,7252;13,6965;13,6206;13,4743;13,498;13,2531;12,7487;1,32925;0,0379505;0,60452;2,49485;+
CELE_K01A12,4;G5ED56;Uncharacterized protein;14,0356;13,8342;13,4894;14,1518;14,175;13,8411;12,9318;14,2235;0,0930803;0,765511;0,0848975;0,255207;
